Store_Size,Product_Price,Day_of_Week,Promotion,Holiday,Monthly_Target,Sales
4174,280.2780575465943,5,0,1,12019.557776496316,13358.079727653421
4507,90.76878795713047,7,1,1,35099.46287137117,5034.345511450934
1860,211.51500712683085,3,0,1,25424.54051462592,3318.140857960892
2294,391.0251190302605,7,1,1,47450.68557652877,14326.282425634112
2130,245.3813401145138,7,0,1,31679.602995590638,3155.375524974418
2095,492.7901648260971,5,0,1,47586.060451740326,19941.275153197752
4772,194.60209526959096,4,0,1,18819.347738932163,4485.595621854357
4092,377.2933669882753,7,1,1,39029.036414564136,12288.695392372692
2638,202.56482999964098,1,0,1,34689.96083394902,8816.116856839199
3169,416.29046814619204,4,0,1,39576.32919325247,3401.342025707675
1466,288.84991989121636,3,0,0,18586.71455890147,1529.0342439708545
2238,41.12079649910066,3,0,1,36599.780649510954,12831.913363563832
1330,28.042715141635775,7,0,0,29921.61572227476,16328.393711993396
2482,75.58753821231026,4,1,1,39712.99899625265,16998.297568628135
3135,16.69926276522867,5,1,1,23081.78576607271,10171.555988461754
4444,46.92593957270653,5,1,0,45602.281018610105,15771.653876465325
4171,348.9400546127669,6,1,1,13372.052584454015,13784.09553628235
3919,271.8296747644369,3,1,0,42287.57275164752,14760.83602248353
4735,377.4562672402862,2,1,0,44452.785032603635,10359.381099214468
1130,457.451218606245,6,1,0,42690.09245467285,13034.823064600414
2685,296.72327083948124,5,0,1,30509.05577047104,16304.992357945082
4380,365.7992135952056,4,1,1,27535.39920123045,8559.799335583437
1769,380.96978900080336,5,0,1,49850.49146099507,16313.59911648409
3391,195.14676914513535,4,0,0,19166.878048566483,12248.320012992195
2515,128.1315678415196,6,1,0,31875.038635041783,4152.119463044939
4485,110.4722109681972,3,0,1,36827.02101529302,1468.9989872671076
3853,133.20679536078126,5,0,1,38034.70543445728,7892.318407583889
3433,144.6185805426953,7,0,1,18160.98662954315,11387.230237630458
2215,111.54154801394766,4,0,1,36159.763693592045,16956.58669186628
1955,440.3281270648042,3,1,1,42734.78265925349,3422.227922664678
3324,380.92957476439204,2,1,0,12000.743072844489,16203.920605988003
2184,32.97926921769776,4,1,0,46460.85173301266,17397.171875277312
1459,141.6495161924006,6,1,0,11180.162205808238,3863.062253015842
4385,20.870523594847796,2,1,1,24238.841299535772,17180.29206678016
1021,254.10094145648753,2,1,0,10632.527849318483,19837.61778901305
3300,243.34324142661694,1,1,0,13085.806741583274,14809.937789916514
1747,417.3720301306256,5,1,0,46446.731407203166,15910.623954674771
3904,160.81084748781421,4,1,0,24194.433229845912,19893.890083618597
4632,410.02901025440053,2,1,0,26990.861217002115,12504.143759992961
1474,484.3071450655133,1,0,1,18613.775255302106,6849.841258308738
2082,53.320029449166825,6,1,0,33883.830807468796,16913.085847445058
3558,397.9907413401201,3,0,1,33792.12858711158,12675.229772720993
4753,299.0783895974417,7,0,1,24888.01567300877,12042.713050698174
3047,245.22252383905283,7,0,1,23321.394872215933,5819.075554766727
4547,216.0625315458868,4,0,1,45398.57232722351,15370.351122074846
3747,394.48744933271166,2,1,1,25331.369585688055,2551.6782413418287
1975,323.28706491737876,7,0,0,29740.03968617633,18561.454345098562
2806,404.4718870844873,5,1,0,21332.190496997224,7190.64575463921
1189,452.54401875154684,7,1,1,41470.780134285094,3427.7184030098188
4005,312.4592189276731,7,0,1,25897.926275963666,9404.964128945958
3734,490.42673529526513,7,1,1,30544.441861772983,1806.9282758741301
4005,307.96304627552377,1,0,0,20134.286802386458,14007.897691034359
1562,321.95571759491844,2,0,1,49506.383693650074,18151.404698461767
2899,281.85964818569056,5,1,0,21659.829636948914,16907.997135631667
4638,54.59102461515184,2,1,1,40829.70123622207,3420.0199955097405
2267,365.93454599861184,4,0,0,27099.826014270366,3399.1516050469054
3879,278.24869038056465,4,1,1,18248.696203365595,16455.25516416102
2528,230.94611923389115,4,1,0,41988.750558594445,18560.831217459203
4202,456.1309264176038,6,1,1,23344.271561161728,9752.726766836293
4556,156.00013125555574,7,0,0,44607.73389591244,10480.451221361553
4890,266.5651152473555,6,0,0,46610.28739671292,7046.978786328792
1646,351.84451703179707,1,1,0,44392.953415651034,17991.037246871867
3068,400.27117008019985,4,1,0,11400.316592272226,13253.155200554764
3888,235.0799358936245,5,1,0,41494.93380020422,6476.779966180001
3214,422.6247933591677,2,1,0,26453.578659965755,6676.8745500307805
2297,386.7696932445448,7,1,0,44948.916807289,17932.801388208445
